"Teilrecht_Id","Teilrecht_Staat","Teilrecht_Bezeichnung"
1,1,Austria
2,2,Belgium
3,3,Czech Republic
4,4,Denmark
5,5,Estonia
6,7,Finland
7,8,France
8,9,Germany
9,10,Greece
10,13,Ireland
11,11,Hungary
12,14,Italy
13,15,Latvia
14,16,Lithuania
15,17,Netherlands
16,18,Norway
17,19,Poland
18,20,Portugal
19,21,Romania
20,22,Slovakia
21,23,Slovenia
22,24,Spain
23,25,Sweden
24,26,Switzerland
26,27,England and Wales
27,27,Scotland
28,6,Austria
29,6,Belgium
31,6,Denmark
32,6,Estonia
33,6,Finland
34,6,France
35,6,Germany
36,6,Greece
37,6,Hungary
38,6,Ireland
39,6,Latvia
40,6,Lithuania
42,6,Poland
43,6,Portugal
44,6,Romania
45,6,Slovakia
46,6,Slovenia
47,6,Spain
48,6,Sweden
51,6,United Kingdom
52,6,Italy
53,6,The Czech Republic
54,6,The Netherlands
55,3,The Czech Republic
56,28,Malta
57,29,Bulgaria
58,6,Luxembourg
59,31,Israel
60,32,Croatia
61,33,Turkey
62,6,Norway
63,6,EU
